Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
11/04/2013,"6,763.62","6,734.74","6,780.11","6,734.56",510.15M,0.43%,,,6677.483398
11/01/2013,"6,734.74","6,731.43","6,760.87","6,715.30",675.46M,0.05%,,,6679.210449
10/31/2013,"6,731.43","6,777.70","6,778.27","6,719.51",742.78M,-0.68%,,,6719.993652
10/30/2013,"6,777.70","6,774.73","6,819.86","6,763.66",656.35M,0.04%,,,6712.11084
10/29/2013,"6,774.73","6,725.82","6,777.16","6,718.85",781.28M,0.73%,,,6667.890137
10/28/2013,"6,725.82","6,721.34","6,739.66","6,704.15",590.27M,0.07%,,,6662.777832
10/25/2013,"6,721.34","6,713.18","6,729.74","6,700.37",569.15M,0.12%,,,6651.310547
10/24/2013,"6,713.18","6,674.48","6,719.25","6,674.16",601.32M,0.58%,,,6619.177734
10/23/2013,"6,674.48","6,695.66","6,695.92","6,655.20",643.94M,-0.32%,,,6634.058105
10/22/2013,"6,695.66","6,654.20","6,719.27","6,653.70",575.01M,0.62%,,,6594.093262
10/21/2013,"6,654.20","6,622.58","6,654.20","6,617.81",494.97M,0.48%,,,6561.339355
10/18/2013,"6,622.58","6,576.16","6,622.70","6,576.16",710.03M,0.71%,,,6520.000488
10/17/2013,"6,576.16","6,571.59","6,576.16","6,529.16",669.59M,0.07%,,,6514.285156
10/16/2013,"6,571.59","6,549.11","6,584.39","6,504.27",663.77M,0.34%,,,6491.050781
10/15/2013,"6,549.11","6,507.65","6,569.28","6,507.65",603.86M,0.64%,,,6453.454102
10/14/2013,"6,507.65","6,487.19","6,507.80","6,464.44",434.97M,0.32%,,,6430.393555
10/11/2013,"6,487.19","6,430.49","6,489.16","6,430.47",545.66M,0.88%,,,6370.328125
10/10/2013,"6,430.49","6,337.91","6,446.22","6,337.91",631.27M,1.46%,,,6291.083984
10/09/2013,"6,337.91","6,365.83","6,372.63","6,316.91",605.27M,-0.44%,,,6323.437988
10/08/2013,"6,365.83","6,437.28","6,437.73","6,364.97",718.01M,-1.11%,,,6388.596191
10/07/2013,"6,437.28","6,453.88","6,453.88","6,391.47",484.16M,-0.26%,,,6403.018555
10/04/2013,"6,453.88","6,449.04","6,473.58","6,428.96",528.85M,0.08%,,,6397.510742
10/03/2013,"6,449.04","6,437.50","6,472.43","6,436.21",617.41M,0.18%,,,6389.356934
10/02/2013,"6,437.50","6,460.01","6,460.01","6,386.18",575.17M,-0.35%,,,6408.815918
10/01/2013,"6,460.01","6,462.22","6,466.30","6,424.37",599.07M,-0.03%,,,6415.758789
09/30/2013,"6,462.22","6,512.66","6,512.66","6,438.72",667.90M,-0.77%,,,6465.799316
09/27/2013,"6,512.66","6,565.59","6,568.94","6,487.30",556.75M,-0.81%,,,6511.033691
09/26/2013,"6,565.59","6,551.53","6,580.94","6,535.78",552.70M,0.21%,,,6500.314941
09/25/2013,"6,551.53","6,571.46","6,587.97","6,526.42",828.37M,-0.30%,,,6515.989746
09/24/2013,"6,571.46","6,557.37","6,585.40","6,549.92",663.77M,0.21%,,,6507.602051
09/23/2013,"6,557.37","6,596.43","6,601.53","6,542.67",592.41M,-0.59%,,,6545.29834
09/20/2013,"6,596.43","6,625.39","6,629.93","6,594.17",1.53B,-0.44%,,,6563.638672
09/19/2013,"6,625.39","6,558.82","6,659.12","6,558.82",799.39M,1.01%,,,6505.267578
09/18/2013,"6,558.82","6,570.17","6,587.58","6,532.50",793.62M,-0.17%,,,6520.695313
09/17/2013,"6,570.17","6,622.86","6,623.04","6,570.17",1.20B,-0.80%,,,6563.161621
09/16/2013,"6,622.86","6,583.80","6,652.66","6,583.80",565.48M,0.59%,,,6528.847168
09/13/2013,"6,583.80","6,588.98","6,588.98","6,561.78",495.64M,-0.08%,,,6533.518066
09/12/2013,"6,588.98","6,588.43","6,606.12","6,558.61",616.04M,0.01%,,,6532.706543
09/11/2013,"6,588.43","6,583.99","6,589.85","6,559.72",709.33M,0.07%,,,6523.335938
09/10/2013,"6,583.99","6,530.74","6,599.51","6,530.74",730.04M,0.82%,,,6478.180664
09/09/2013,"6,530.74","6,547.33","6,555.86","6,508.76",586.57M,-0.25%,,,6491.79541
09/06/2013,"6,547.33","6,532.44","6,568.18","6,492.49",606.30M,0.23%,,,6472.741211
09/05/2013,"6,532.44","6,474.74","6,543.22","6,461.68",758.35M,0.89%,,,6421.241699
09/04/2013,"6,474.74","6,468.41","6,486.40","6,423.51",717.07M,0.10%,,,6419.900391
09/03/2013,"6,468.41","6,506.19","6,523.16","6,456.95",737.86M,-0.58%,,,6443.904297
09/02/2013,"6,506.19","6,412.93","6,532.30","6,412.93",596.60M,1.45%,,,6368.988281
08/30/2013,"6,412.93","6,483.05","6,502.19","6,409.60",797.04M,-1.08%,,,6425.532227
08/29/2013,"6,483.05","6,430.06","6,500.51","6,429.95",876.30M,0.82%,,,6380.071289
08/28/2013,"6,430.06","6,440.97","6,440.97","6,393.65",748.56M,-0.17%,,,6395.924805
08/27/2013,"6,440.97","6,492.10","6,494.20","6,424.00",760.40M,-0.79%,,,6436.959961
08/23/2013,"6,492.10","6,446.87","6,516.71","6,422.35",485.42M,0.70%,,,6390.787109
08/22/2013,"6,446.87","6,390.84","6,468.88","6,390.62",501.84M,0.88%,,,6347.758301
08/21/2013,"6,390.84","6,453.46","6,453.55","6,386.72",607.07M,-0.97%,,,6404.109863
08/20/2013,"6,453.46","6,465.73","6,465.73","6,398.63",620.94M,-0.19%,,,6417.956543
08/19/2013,"6,465.73","6,499.99","6,506.59","6,457.73",467.69M,-0.53%,,,6445.592773
08/16/2013,"6,499.99","6,483.34","6,502.27","6,461.30",637.58M,0.26%,,,6442.005859
08/15/2013,"6,483.34","6,587.43","6,587.88","6,460.12",667.13M,-1.58%,,,6536.984375
08/14/2013,"6,587.43","6,611.94","6,627.96","6,582.58",678.15M,-0.37%,,,6555.399902
08/13/2013,"6,611.94","6,574.34","6,620.43","6,568.44",568.87M,0.57%,,,6523.387207
08/12/2013,"6,574.34","6,583.39","6,598.39","6,547.00",478.93M,-0.14%,,,6525.379395
08/09/2013,"6,583.39","6,529.68","6,601.21","6,529.48",632.93M,0.82%,,,6474.714355
08/08/2013,"6,529.68","6,511.21","6,558.59","6,507.24",566.01M,0.28%,,,6467.640625
08/07/2013,"6,511.21","6,604.21","6,624.99","6,511.21",641.42M,-1.41%,,,6550.976074
